fips,star
01003,170
01005,7
01015,479
01017,11
01025,11
01031,38
01033,61
01035,2
01039,18
01043,84
01047,13
01049,71
01053,12
01055,120
01057,4
01059,12
01069,110
01073,1568
01077,361
01081,2301
01083,101
01087,44
01089,759
01091,1
01093,9
01095,54
01097,1065
01099,7
01101,711
01103,310
01105,34
01109,353
01111,21
01113,69
01117,148
01119,57
01121,12
01123,36
01125,1962
01127,42
02020,727
02090,282
02110,50
02122,34
02130,4
02170,43
02220,2
02261,17
04001,5
04003,95
04005,1018
04009,50
04013,9744
04015,42
04017,20
04019,3250
04021,67
04025,361
04027,126
05005,33
05007,482
05009,44
05019,203
05023,21
05027,62
05029,44
05031,658
05035,9
05043,68
05045,910
05047,15
05051,35
05055,9
05057,6
05059,13
05063,56
05065,8
05067,16
05069,47
05071,40
05075,11
05093,19
05103,6
05107,8
05111,7
05113,16
05115,365
05119,1102
05121,18
05123,17
05131,306
05133,9
05139,7
05143,1661
05145,344
06001,5100
06007,1789
06013,1711
06017,40
06019,2523
06023,783
06025,270
06029,1304
06031,96
06035,24
06037,24186
06039,60
06041,407
06045,67
06047,448
06053,915
06055,311
06057,14
06059,12245
06061,1004
06063,17
06065,4408
06067,2879
06071,3797
06073,12426
06075,4619
06077,960
06079,705
06081,993
06083,2607
06085,7050
06087,1651
06089,269
06093,53
06095,442
06097,1596
06099,1200
06101,6
06107,398
06109,76
06111,1678
06113,2679
06115,181
08001,313
08003,65
08005,232
08013,1344
08031,2619
08041,1185
08045,17
08051,86
08059,390
08065,4
08067,199
08069,941
08071,8
08075,18
08077,260
08081,2
08087,5
08089,3
08097,8
08099,2
08101,111
08103,2
08107,13
08117,1
08123,591
09001,1305
09003,1687
09005,80
09007,401
09009,2577
09011,475
09013,1211
09015,490
10001,322
10003,2624
10005,66
11001,6119
12001,3871
12005,260
12009,1326
12011,3101
12015,57
12017,4
12019,115
12021,116
12023,97
12031,3163
12033,1248
12039,8
12055,55
12057,4497
12061,23
12063,62
12069,296
12071,1142
12073,4001
12079,29
12081,459
12083,263
12085,30
12086,7154
12087,20
12091,315
12095,5946
12097,314
12099,3324
12101,326
12103,1932
12105,858
12107,65
12109,297
12111,512
12115,335
12117,900
12127,1605
13009,548
13017,1
13021,829
13031,1033
13045,714
13051,1247
13057,86
13059,2267
13063,374
13067,2242
13069,56
13071,3
13077,8
13087,39
13089,1940
13095,169
13097,26
13107,44
13113,1
13115,314
13117,23
13119,40
13121,4331
13127,103
13135,579
13137,90
13139,639
13143,31
13151,5
13153,33
13171,234
13175,2
13179,1
13185,488
13187,418
13209,34
13215,628
13217,112
13225,56
13243,14
13245,707
13255,70
13261,112
13275,36
13277,136
13279,9
13281,68
13285,96
13291,7
13295,69
13299,9
13303,175
13311,41
13313,205
15001,292
15003,3370
15007,19
15009,61
16001,976
16005,442
16019,5
16027,127
16057,316
16061,3
16065,980
16069,72
16083,56
17001,83
17005,52
17019,259
17029,976
17031,15001
17033,9
17037,1768
17043,2530
17057,38
17073,13
17077,601
17081,33
17083,53
17089,834
17091,170
17095,107
17097,797
17099,94
17103,47
17107,57
17109,839
17111,258
17113,1959
17115,167
17117,26
17119,944
17121,32
17137,106
17143,684
17153,30
17157,5
17159,8
17161,422
17163,332
17165,35
17167,352
17177,26
17179,555
17183,41
17187,61
17191,1
17195,3
17197,932
17199,67
17201,420
17203,78
18003,167
18005,72
18019,28
18029,3
18035,1212
18037,27
18039,30
18043,309
18051,19
18053,351
18057,1
18067,102
18069,37
18073,38
18077,83
18081,45
18083,142
18085,35
18089,548
18091,133
18095,174
18097,2136
18105,2248
18107,36
18127,339
18133,263
18141,881
18147,4
18151,58
18157,1782
18163,994
18167,957
18169,32
18173,5
18177,144
19007,6
19013,1197
19015,33
19017,120
19021,69
19033,70
19045,126
19053,35
19057,29
19061,236
19063,18
19065,63
19083,8
19099,21
19101,13
19103,1485
19111,4
19113,413
19123,22
19125,72
19127,15
19139,28
19141,3
19147,4
19153,729
19155,56
19157,248
19163,368
19167,79
19169,1537
19175,16
19179,42
19181,88
19187,42
19189,36
19191,226
19193,108
20001,89
20005,52
20009,18
20011,6
20015,175
20029,10
20035,152
20037,346
20043,34
20045,1633
20051,233
20055,30
20057,44
20059,36
20079,19
20091,931
20099,15
20103,12
20111,201
20113,22
20115,7
20125,37
20133,16
20151,7
20155,55
20159,22
20161,881
20169,63
20173,1086
20175,2
20177,301
20193,11
20209,139
21001,70
21013,5
21015,21
21019,64
21021,128
21035,628
21037,873
21043,29
21047,64
21059,137
21067,1953
21071,40
21073,18
21083,3
21093,109
21095,13
21101,27
21107,55
21111,1452
21113,133
21117,111
21119,28
21121,25
21131,2
21145,99
21151,1259
21161,22
21193,24
21195,40
21199,103
21205,525
21209,93
21217,37
21227,739
21235,129
21239,25
22005,29
22015,119
22017,330
22019,346
22033,1423
22045,2
22055,1133
22057,394
22061,699
22069,358
22071,2769
22073,295
22079,164
22087,31
22097,79
22103,1
22105,868
22109,29
22119,14
23001,279
23003,53
23005,851
23011,337
23019,159
23029,3
23031,209
24001,390
24003,1606
24005,2505
24013,383
24015,99
24017,409
24021,609
24025,337
24027,555
24029,141
24031,1628
24033,4034
24039,105
24043,141
24045,792
24510,3139
25001,72
25003,287
25005,603
25009,1196
25013,1392
25015,434
25017,4379
25021,210
25023,1236
25025,8482
25027,2738
26007,38
26017,3
26021,174
26025,282
26027,82
26035,79
26041,77
26045,50
26047,90
26049,1558
26053,27
26055,183
26057,141
26059,130
26061,416
26065,1955
26073,1876
26075,320
26077,1838
26081,1827
26087,1
26091,117
26093,26
26099,61
26103,616
26105,42
26107,742
26111,172
26115,183
26121,388
26125,3235
26139,2450
26143,48
26145,13
26147,276
26149,34
26155,83
26157,6
26159,24
26161,4888
26163,6097
26165,34
27003,243
27005,6
27007,233
27013,40
27015,37
27017,10
27027,660
27035,55
27037,275
27041,34
27049,3
27053,4853
27059,28
27061,43
27067,50
27071,1
27083,165
27085,30
27099,34
27103,266
27105,16
27109,258
27111,30
27113,7
27115,5
27119,50
27123,2426
27131,504
27137,726
27145,1123
27147,2
27149,153
27169,714
28011,98
28027,8
28029,7
28033,27
28035,527
28039,1
28047,132
28049,338
28051,36
28057,41
28059,63
28067,75
28069,3
28071,361
28075,42
28081,1
28083,3
28087,57
28101,17
28105,548
28109,47
28113,11
28117,49
28121,17
28127,1
28133,4
28137,68
28139,11
29001,299
29007,2
29019,1442
29021,263
29023,45
29027,115
29031,650
29047,66
29051,61
29065,2
29071,41
29077,2242
29079,25
29089,39
29091,54
29095,1124
29097,230
29099,107
29101,658
29105,23
29111,30
29127,27
29145,48
29147,366
29151,13
29159,52
29161,486
29165,240
29167,71
29169,1
29175,44
29183,574
29187,39
29189,119
29195,30
29217,34
29510,3763
30001,12
30003,3
30005,2
30013,33
30017,4
30021,17
30029,32
30031,320
30035,2
30041,16
30047,6
30049,64
30063,345
30087,1
30093,65
30111,133
31001,43
31019,280
31045,52
31053,12
31055,1333
31067,2
31079,5
31109,1055
31111,11
31119,26
31127,15
31141,16
31151,46
31153,101
31157,18
31159,43
31179,60
31185,6
32001,2
32003,3763
32007,53
32031,1603
32510,126
33001,12
33005,389
33007,13
33009,6
33011,981
33013,21
33015,44
33017,29
33019,4
34001,241
34003,1293
34005,208
34007,1097
34011,155
34013,2694
34015,1342
34017,1341
34021,938
34023,3298
34025,1563
34027,708
34031,306
34035,8
34037,174
34039,148
34041,232
35001,2302
35005,32
35006,1
35009,19
35013,646
35015,5
35017,43
35025,21
35028,9
35031,5
35035,35
35037,1
35041,62
35043,15
35045,47
35047,41
35049,148
35053,122
35055,4
35061,30
36001,2114
36003,423
36005,2935
36007,1773
36009,211
36011,183
36013,531
36015,111
36019,602
36021,47
36023,627
36025,123
36027,1504
36029,3701
36033,66
36035,53
36037,166
36043,113
36045,106
36047,5881
36051,474
36053,445
36055,3722
36059,5810
36061,16985
36063,191
36065,784
36067,2056
36069,403
36071,664
36075,728
36077,751
36081,69
36083,1125
36085,1555
36087,637
36089,822
36091,679
36093,295
36095,154
36101,176
36103,4213
36105,70
36109,2408
36111,932
36113,3
36119,1759
36123,56
37001,717
37007,27
37011,43
37013,30
37017,24
37021,549
37023,71
37025,17
37027,132
37031,11
37033,2
37035,268
37039,13
37045,167
37047,37
37049,76
37051,417
37055,8
37057,54
37061,15
37063,1445
37065,24
37067,566
37069,10
37071,227
37081,2177
37083,27
37085,250
37087,32
37089,48
37091,46
37097,78
37099,706
37101,43
37105,55
37107,53
37111,13
37115,70
37117,5
37119,3009
37121,24
37123,10
37125,72
37127,98
37129,1360
37133,182
37135,1457
37137,16
37139,144
37145,22
37147,2215
37151,37
37153,7
37155,377
37157,38
37159,254
37161,26
37163,15
37165,23
37167,100
37171,85
37175,42
37179,87
37181,37
37183,2182
37189,1574
37191,120
37193,67
37195,86
38003,28
38009,7
38015,70
38017,529
38021,1
38035,398
38071,11
38079,1
38085,1
38089,62
38093,11
38097,17
38101,104
38105,4
39003,176
39005,250
39007,36
39009,1641
39013,60
39015,7
39017,1822
39021,44
39023,226
39025,163
39027,64
39029,50
39035,3256
39039,28
39041,173
39043,67
39045,76
39049,6080
39051,48
39053,88
39055,30
39057,269
39061,3178
39063,267
39065,315
39071,55
39079,1
39081,194
39083,231
39085,395
39087,60
39089,443
39093,892
39095,1644
39099,823
39101,105
39107,38
39109,71
39113,3273
39119,136
39129,25
39133,1770
39139,124
39141,57
39143,26
39145,221
39147,120
39151,752
39153,1231
39155,97
39157,40
39167,104
39169,308
39173,1251
40013,119
40017,48
40021,255
40027,1370
40031,234
40039,197
40047,27
40051,62
40065,12
40069,35
40071,32
40077,28
40079,42
40083,42
40101,45
40109,2471
40111,41
40115,45
40119,1216
40123,194
40125,109
40131,164
40133,55
40139,15
40143,2182
40147,21
40151,37
40153,1
41001,1
41003,1136
41005,277
41007,25
41011,57
41017,121
41019,19
41029,216
41033,116
41035,158
41039,1616
41041,3
41043,147
41045,23
41047,767
41051,3886
41053,317
41057,8
41059,22
41061,111
41065,14
41067,103
41071,264
42001,330
42003,4738
42007,243
42011,1249
42013,472
42017,809
42019,648
42021,448
42027,11
42029,1238
42031,327
42033,11
42035,305
42037,548
42039,232
42041,839
42043,375
42045,1160
42049,1434
42051,2
42055,120
42059,84
42061,95
42063,1037
42069,919
42071,1229
42073,122
42075,155
42077,752
42079,530
42081,611
42083,76
42085,297
42089,276
42091,1583
42095,1402
42097,3
42101,7099
42107,3
42109,194
42111,5
42117,186
42119,366
42125,523
42129,627
42133,684
44003,382
44005,232
44007,2398
44009,1238
45001,34
45003,327
45005,26
45007,357
45009,7
45013,129
45015,2
45019,2071
45021,41
45025,15
45031,45
45041,429
45043,28
45045,1133
45047,225
45051,697
45057,49
45059,87
45071,39
45075,115
45077,1466
45079,3247
45083,808
45085,121
45087,14
45089,4
45091,661
46011,328
46013,69
46027,212
46029,2
46035,15
46079,74
46081,88
46099,184
46102,2
46103,86
46121,2
46135,9
47001,67
47009,110
47011,333
47013,1
47017,35
47023,68
47025,75
47031,130
47035,12
47037,2431
47045,73
47051,137
47055,15
47059,45
47063,152
47065,1244
47089,103
47093,2313
47097,3
47103,1
47107,11
47113,328
47117,2
47119,175
47123,10
47125,695
47141,690
47143,54
47145,80
47149,807
47151,2
47157,2585
47163,300
47165,312
47177,7
47179,889
47183,494
47187,5
47189,55
48001,5
48005,182
48015,2
48025,22
48027,602
48029,5327
48037,87
48039,209
48041,1598
48043,86
48049,48
48061,100
48073,2
48085,1272
48097,37
48113,4978
48121,2489
48129,15
48133,58
48135,134
48139,110
48141,925
48143,415
48149,31
48157,195
48167,333
48181,195
48183,230
48187,93
48189,48
48201,10877
48203,53
48209,1426
48213,53
48215,519
48217,39
48219,122
48227,11
48231,465
48233,6
48245,532
48251,54
48257,25
48265,68
48273,238
48277,57
48293,1
48303,1004
48309,913
48323,10
48329,90
48347,804
48349,78
48353,7
48355,568
48361,29
48365,39
48367,110
48375,122
48381,207
48415,15
48423,668
48439,4115
48441,374
48449,46
48451,288
48453,3083
48463,15
48465,7
48469,224
48471,910
48473,157
48477,109
48479,271
48481,65
48485,274
48487,21
48491,159
48499,4
49005,693
49007,42
49011,8
49021,260
49035,2299
49039,110
49041,1
49045,4
49047,2
49049,4150
49053,274
49057,836
50005,72
50007,1132
50015,67
50021,47
50023,37
50027,23
51001,4
51005,13
51013,585
51015,152
51025,12
51027,26
51037,4
51041,159
51047,2
51059,227
51061,38
51067,63
51069,144
51085,123
51107,36
51121,794
51147,445
51153,14
51155,79
51159,12
51165,142
51173,3
51185,63
51187,35
51191,132
51195,109
51197,25
51510,50
51530,35
51540,1682
51550,276
51590,93
51600,2850
51610,39
51620,12
51630,652
51650,487
51660,1796
51678,336
51680,1099
51683,38
51690,19
51700,512
51710,2102
51730,154
51740,207
51750,791
51760,2822
51770,347
51775,197
51790,112
51800,1
51810,932
51830,875
51840,174
53005,55
53007,75
53009,45
53011,732
53015,119
53021,177
53025,35
53027,44
53033,5436
53035,199
53037,574
53041,57
53053,1277
53057,94
53061,595
53063,1655
53067,550
53071,156
53073,1250
53075,1193
53077,143
54001,32
54003,34
54009,50
54011,1294
54021,38
54025,4
54029,2
54033,15
54037,1038
54039,159
54045,33
54049,352
54055,295
54057,28
54061,1330
54067,1
54069,241
54081,91
54083,35
54097,105
54107,127
55003,33
55005,30
55009,507
55025,2512
55031,122
55033,552
55035,743
55039,216
55043,471
55055,17
55059,399
55063,685
55071,44
55073,92
55075,20
55078,1
55079,2585
55085,17
55087,202
55089,107
55093,317
55097,524
55101,21
55103,21
55105,233
55109,7
55111,32
55113,1
55117,72
55127,513
55131,58
55133,303
55139,706
55141,40
56001,360
56005,11
56013,9
56015,6
56021,51
56025,45
56029,16
56033,18
56037,24
