local_name,state_name,average_score,lat,lon
 Abbotsford, BC,3.9625,49.0504,-122.3
 Aberdeen, WA,4.5,45.4646,-98.468
 Abilene, TX,3.0375,38.923,-97.2251
 Abingdon, VA,4.75,36.7089,-81.9713
 Ada, OH,3.925,40.768,-83.8252
 Addison, IL,1,41.9314,-88.0085
 Adrian, MI,3.85,41.8994,-84.0446
 Aiken, SC,4.275,33.5303,-81.727
 Akron, OH,4.169565217,41.0802,-81.5219
 Alameda, CA,3.8,37.767,-122.2673
 Albany, GA,4.5,44.6274,-123.0966
 Albany, NY,3.177777778,44.6274,-123.0966
 Albany, OR,3.65,44.6274,-123.0966
 Albuquerque, NM,3.927027027,35.1053,-106.6464
 Alexandria, GLASGOW,3,38.9622,-84.386
 Alexandria, LA,3.633333333,38.9622,-84.386
 Alexandria, VA,4.2,38.9622,-84.386
 Allen Park, MI,4.425,42.2595,-83.2107
 Allendale, MI,3.4375,41.0333,-74.1333
 Allendale, SC,5,41.0333,-74.1333
 Allentown, PA,3.7,40.5961,-75.4756
 Alma, MI,2.5,43.38,-84.6556
 Alpena, MI,2.9,45.074,-83.4399
 Altamonte Springs, FL,3.88,28.6615,-81.3952
 Altoona, PA,3.742857143,41.6461,-93.4758
 Alvin, TX,2,29.3871,-95.2934
 Ambler, PA,2.9,40.1564,-75.2215
 Americus, GA,3.4,32.0736,-84.2249
 Ames, IA,3.8625,42.0261,-93.6279
 Amherst, MA,3.808571429,41.4022,-82.2303
 Anaheim, CA,1,33.839,-117.8572
 Anchorage, AK,3.813333333,61.1508,-149.1091
 Anderson, IN,3.35,34.5212,-82.6479
 Anderson, SC,3.9,34.5212,-82.6479
 Andover, KS,3.2375,37.6868,-97.1353
 Andover, MA,3.65,37.6868,-97.1353
 Angola, IN,5,41.6432,-85.0051
 Ankeny, IA,3.05,41.728,-93.6031
 Ann Arbor, MI,3.621666667,42.2755,-83.7312
 Annapolis, MD,3.65,38.9706,-76.5047
 Antigonish, NS,4.5,45.6269,-61.9982
 Appleton, WI,4.65,44.2774,-88.3894
 Arcata, CA,4.25,40.862,-124.0754
 Arkadelphia, AR,4.3,34.125,-93.0719
 Arlington, TX,3.863636364,35.2595,-89.668
 Arlington, VA,3.716666667,35.2595,-89.668
 Arnold, MD,3.858823529,38.4294,-90.3725
 Asbury Park, NJ,4.9,40.2226,-74.0117
 Asheboro, NC,4.7,35.7158,-79.8128
 Asheville, NC,3.94,35.5706,-82.5537
 Ashland, OH,4,42.1905,-122.6992
 Ashland, OR,3.85,42.1905,-122.6992
 Astoria, OR,4.4,46.1856,-123.8053
 Athens, GA,3.665384615,39.3269,-82.0988
 Athens, OH,3.515384615,39.3269,-82.0988
 Athens, TX,4,39.3269,-82.0988
 Athens, WV,3,39.3269,-82.0988
 Atlanta, GA,3.809090909,33.7626,-84.4228
 Auburn, AL,4.392307692,44.085,-70.2492
 Auburn, ME,3.925,44.085,-70.2492
 Auburn, NY,4.4,44.085,-70.2492
 Auburn, WA,3.95,44.085,-70.2492
 Auburn Hills, MI,4.4,42.6735,-83.2447
 Augusta, GA,4.26,37.6955,-96.9921
 Augusta, ME,4.5,37.6955,-96.9921
 Aurora, CO,3.5,36.9674,-93.7183
 Aurora, IL,3.7,36.9674,-93.7183
 Aurora, NY,4.4,36.9674,-93.7183
 Austin, TX,3.75625,43.6722,-92.9761
 Avondale, AZ,4.14,33.3858,-112.3236
 Azusa, CA,3.818181818,34.1386,-117.9124
 Bainbridge, GA,5,30.9046,-84.5722
 Bakersfield, CA,3.636842105,35.353,-119.036
 Baltimore, MD,4.029545455,39.3051,-76.6144
 Barnesville, GA,4.35,33.0511,-84.1526
 Barstow, CA,3.3,34.8655,-117.0464
 Batavia, NY,3.366666667,41.8479,-88.3109
 Batavia, OH,4.085714286,41.8479,-88.3109
 Baton Rouge, LA,4.044444444,30.4423,-91.1314
 Battle Creek, MI,4.8,42.2985,-85.2296
 Baytown, TX,3.9,29.7607,-94.9628
 Beaufort, SC,1.55,32.4487,-80.7103
 Beaumont, TX,4,33.9059,-116.9763
 Beckley, WV,4.35,37.7878,-81.1841
 Bedford, MA,4.3,41.3919,-81.5359
 Bel Air, MD,3.475,39.5348,-76.346
 Belleville, MI,2.745454545,38.5165,-89.9899
 Belleville, ON,3.6,38.5165,-89.9899
 Bellevue, WA,3.607692308,39.101,-84.4776
 Bellingham, WA,3.908,48.7543,-122.4687
 Belmont, NC,3.15,37.5154,-122.2955
 Beloit, WI,4.4,42.523,-89.0184
 Belton, TX,2.875,34.5238,-82.4937
 Bemidji, MN,4.15,47.483,-94.8788
 Bend, OR,3.5,44.0562,-121.3087
