local_name,state_name,average_score,lat,lon
 Abbotsford, BC,3.66957265,49.0504,-122.3
 Aberdeen, ABERDEENSHIRE,4.307692308,45.4646,-98.468
 Aberdeen, SD,3.501449275,45.4646,-98.468
 Aberdeen, WA,4.138636364,45.4646,-98.468
 Abilene, TX,3.870588235,38.923,-97.2251
 Abingdon, VA,3.802,36.7089,-81.9713
 Ada, OH,3.785079365,40.768,-83.8252
 Ada, OK,3.777319588,40.768,-83.8252
 Addison, IL,3.589903846,41.9314,-88.0085
 Adrian, MI,3.88974359,41.8994,-84.0446
 Aiken, SC,3.757798165,33.5303,-81.727
 Akron, OH,3.744354184,41.0802,-81.5219
 Alameda, CA,3.64,37.767,-122.2673
 Alamogordo, NM,3.851428571,32.8834,-105.9627
 Alamosa, CO,4.116923077,37.4755,-105.877
 Albany, GA,3.779881657,44.6274,-123.0966
 Albany, NY,3.630227058,44.6274,-123.0966
 Albany, OR,3.73877551,44.6274,-123.0966
 Albemarle, NC,3.811363636,35.3601,-80.1919
 Albion, MI,3.775690608,42.2478,-84.7572
 Albuquerque, NM,3.787662902,35.1053,-106.6464
 Alexander City, AL,4.091666667,32.9242,-85.9361
 Alexandria, GLASGOW,4.15,38.9622,-84.386
 Alexandria, LA,3.827516779,38.9622,-84.386
 Alexandria, MN,3.664705882,38.9622,-84.386
 Alexandria, VA,3.786,38.9622,-84.386
 Alhambra, CA,3.94516129,34.084,-118.1355
 Aliso Viejo, CA,4.0875,33.5792,-117.729
 Allen Park, MI,3.911111111,42.2595,-83.2107
 Allendale, MI,3.69886094,41.0333,-74.1333
 Allendale, SC,3.915384615,41.0333,-74.1333
 Allentown, PA,3.834866828,40.5961,-75.4756
 Alliance, OH,3.693048128,40.9107,-81.1189
 Alma, MI,3.655319149,43.38,-84.6556
 Alpena, MI,4.144736842,45.074,-83.4399
 Alpharetta, GA,3.878378378,34.0704,-84.2739
 Alpine, TX,3.736046512,40.4627,-111.7726
 Altamonte Springs, FL,3.910769231,28.6615,-81.3952
 Altoona, PA,3.815466102,41.6461,-93.4758
 Altus, OK,3.591666667,34.6566,-99.3051
 Alva, OK,3.624324324,36.7892,-98.6648
 Alvin, TX,4.032846715,29.3871,-95.2934
 Amarillo, TX,3.755737705,35.1988,-101.8308
 Ambler, PA,3.52139738,40.1564,-75.2215
 Americus, GA,3.655357143,32.0736,-84.2249
 Ames, IA,3.59603123,42.0261,-93.6279
 Amherst, MA,3.709484873,41.4022,-82.2303
 Amherst, NY,3.748,41.4022,-82.2303
 Amityville, NY,5,40.6696,-73.4156
 Anaheim, CA,4.061363636,33.839,-117.8572
 Anchorage, AK,3.816231087,61.1508,-149.1091
 Andalusia, AL,3.983333333,31.3101,-86.4781
 Anderson, IN,3.837931034,34.5212,-82.6479
 Anderson, SC,3.762251656,34.5212,-82.6479
 Andover, KS,3.754605263,37.6868,-97.1353
 Andover, MA,3.437704918,37.6868,-97.1353
 Angola, IN,3.439655172,41.6432,-85.0051
 Ankeny, IA,3.793264249,41.728,-93.6031
 Ann Arbor, MI,3.768309236,42.2755,-83.7312
 Annapolis, MD,3.753485064,38.9706,-76.5047
 Anoka, MN,3.8625,45.2099,-93.3893
 Antigonish, NS,3.5832021,45.6269,-61.9982
 Apache Junction, AZ,3.75,33.3985,-111.5351
 Appleton, WI,3.917821782,44.2774,-88.3894
 Arcata, CA,3.910086957,40.862,-124.0754
 Arkadelphia, AR,3.759605911,34.125,-93.0719
 Arkansas City, KS,3.876865672,37.0726,-97.0385
 Arlington, TX,3.753778559,35.2595,-89.668
 Arlington, VA,3.775555556,35.2595,-89.668
 Arnold, MD,3.821111111,38.4294,-90.3725
 Arnold, MO,4.25,38.4294,-90.3725
 Arroyo Grande, CA,5,35.1241,-120.5845
 Asbury Park, NJ,4.9,40.2226,-74.0117
 Asheboro, NC,4.059459459,35.7158,-79.8128
 Asheville, NC,3.757197697,35.5706,-82.5537
 Ashland, KY,3.7046875,42.1905,-122.6992
 Ashland, OH,3.6436,42.1905,-122.6992
 Ashland, OR,3.630054645,42.1905,-122.6992
 Ashland, VA,3.804878049,42.1905,-122.6992
 Ashland, WI,4.018181818,42.1905,-122.6992
 Ashtabula, OH,3.972222222,41.8806,-80.7984
 Aspen, CO,2.9625,39.1948,-106.837
 Astoria, OR,4,46.1856,-123.8053
 Atchison, KS,3.894230769,39.5627,-95.137
 Athabasca, AB,3.548507463,54.717,-113.2666
 Athens, AL,3.755445545,39.3269,-82.0988
 Athens, GA,3.815306573,39.3269,-82.0988
 Athens, OH,3.710157729,39.3269,-82.0988
 Athens, TN,4.154545455,39.3269,-82.0988
 Athens, TX,3.854716981,39.3269,-82.0988
 Athens, WV,3.796276596,39.3269,-82.0988
 Atherton, CA,3.885483871,37.4539,-122.2032
 Atlanta, GA,3.785624418,33.7626,-84.4228
 Auburn, AL,3.779595675,44.085,-70.2492
 Auburn, ME,3.883333333,44.085,-70.2492
 Auburn, NY,3.827184466,44.085,-70.2492
 Auburn, WA,3.824193548,44.085,-70.2492
 Auburn Hills, MI,3.767556468,42.6735,-83.2447
 Augusta, GA,3.826732673,37.6955,-96.9921
 Augusta, ME,3.865979381,37.6955,-96.9921
 Aurora, CO,3.834545455,36.9674,-93.7183
 Aurora, IL,3.746808511,36.9674,-93.7183
 Aurora, NY,3.82,36.9674,-93.7183
 Aurora, ON,4.6,36.9674,-93.7183
 Austin, MN,3.502941176,43.6722,-92.9761
 Austin, TX,3.800324359,43.6722,-92.9761
 Avon Park, FL,3.821818182,27.5904,-81.5074
 Avondale, AZ,3.878899083,33.3858,-112.3236
 Ayr, AYRSHIRE,4.5,55.4504,-4.6167
 Azusa, CA,3.776714286,34.1386,-117.9124
 Bainbridge, GA,4.351282051,30.9046,-84.5722
 Baker City, OR,5,44.7749,-117.832
 Bakersfield, CA,3.877873812,35.353,-119.036
 Baltimore, MD,3.713603058,39.3051,-76.6144
 Bangor, Gwynedd,3.025,44.8322,-68.7906
 Bangor, ME,3.686163522,44.8322,-68.7906
 Baraboo, WI,3.759375,43.4696,-89.7378
 Barbourville, KY,3.78,36.8667,-83.885
 Barnesville, GA,3.967521368,33.0511,-84.1526
 Barrie, ON,3.673542601,44.3838,-79.7
 Barstow, CA,3.718333333,34.8655,-117.0464
 Bartlesville, OK,4.033333333,36.7356,-95.9451
 Batavia, NY,3.852409639,41.8479,-88.3109
 Batavia, OH,3.721472393,41.8479,-88.3109
 Batesville, AR,3.935714286,34.3147,-89.9249
 Bath, SOMERSET,3.741666667,43.9346,-69.8346
 Bathurst, NB,3.3,47.6,-65.65
 Baton Rouge, LA,3.700843289,30.4423,-91.1314
 Battle Creek, MI,4.201980198,42.2985,-85.2296
 Bay City, MI,4.666666667,43.5903,-83.8886
 Bay Minette, AL,3.906024096,30.893,-87.7913
 Baytown, TX,3.83627907,29.7607,-94.9628
 Beatrice, NE,2,40.2738,-96.7455
 Beaufort, SC,3.686046512,32.4487,-80.7103
 Beaumont, TX,3.753216374,33.9059,-116.9763
 Beaver Falls, PA,3.781818182,40.762,-80.3225
 Beaverton, OR,4.66,45.4779,-122.8168
 Beckley, WV,4.023529412,37.7878,-81.1841
 Bedford, BEDFORDSHIRE,4,41.3919,-81.5359
 Bedford, MA,3.978378378,41.3919,-81.5359
 Beebe, AR,3.896610169,35.0714,-91.8999
 Beeville, TX,3.954545455,28.4059,-97.7494
 Bel Air, CA,3.55,39.5348,-76.346
 Bel Air, MD,3.799406528,39.5348,-76.346
 Belfast, ANTRIM,3.5,54.6,-5.96
 Belleville, IL,3.760456274,38.5165,-89.9899
 Belleville, MI,3.583185841,38.5165,-89.9899
 Belleville, NJ,4,38.5165,-89.9899
 Belleville, ON,3.665934066,38.5165,-89.9899
 Bellevue, NE,3.716494845,39.101,-84.4776
